21.10.2022;Amazon Payments Europe S.C.A.;"Erstattung LED Profile für ""Leuchtende Rahmen""";49,78 €;DS-ASE-CN-DE-2022-28813390
20.10.2022;Amazon Payments Europe S.C.A.;Einkauf 2 Stck Bar Messbecher 2cl/4cl;-15,98 €;1457497
19.10.2022;Amazon Payments Europe S.C.A.;Einkauf 12 Dosierer/Ausgießer 2cl;-39,99 €;1130619
19.10.2022;Nick Heilmann;Mitgliedsbeitrag 2022;40,00 €;
18.10.2022;Amazon Payments Europe S.C.A.;Einkauf Kreidestifte;-16,95 €;DS-ASE-INV-DE-2022-323655049
17.10.2022;Sebastian Hoos;Mitgliedsbeitrag 2022;40,00 €;
17.10.2022;Amazon Payments Europe S.C.A.;"Einkauf LED Profile für ""Leuchtende Rahmen""";-35,62 €;DS-ASE-INV-DE-2022-320883460
14.10.2022;Stadtkasse Mühlhausen;Verwarngeld Geschwindigkeitsüberschreitung (Soki);-30,00 €;2022-11-06-0011
13.10.2022;IKEA Deutschland GmbH;"Einkauf Rahmen für ""Leuchtende Rahmen""";-44,97 €;2022-11-06-0009
12.10.2022;Amazon Payments Europe S.C.A.;Einkauf Kreidestifte;-16,99 €;DS-ASE-INV-DE-2022-318880112
12.10.2022;Amazon Payments Europe S.C.A.;"Retevis Funkgeräte Headset (2er Pack) 16,59€
Retevis Funkgeräte Headset (1er Pack) 9,49€
Retevis Funkgeräte Set (2er Pack) 36,79€
Amazon Aktion -3,03€
UV LED Streifen für ""Leuchtende Rahmen"" 39,99€
3x Geldkassete je 32,99€";-198,80 €;"INV-DE-UOSS-179993431-2022-102288 (62,87)
DS-ASE-INV-DE-2022-317754953 (39,99)
RE40092756 (98,97)"
12.10.2022;Amazon Payments Europe S.C.A.;"Einkauf LED Profile für ""Leuchtende Rahmen""";-49,78 €;DS-ASE-INV-DE-2022-317753509
12.10.2022;Amazon Payments Europe S.C.A.;"Einkauf Sprühlack für ""Leuchtende Rahmen""";-8,49 €;DE25SIF5PAEUI
12.10.2022;Amazon Payments Europe S.C.A.;Einkauf LED Lichterkette für Halloween Party 2 Stk;-16,78 €;DS-ASE-INV-DE-2022-318139404
12.10.2022;Amazon Payments Europe S.C.A.;Einkauf Deko Spinnennetze Halloween Party;-12,99 €;DS-ASE-INV-DE-2022-317743329
12.10.2022;Amazon Payments Europe S.C.A.;Einkauf Halloween Lichterketten 2 Stk (Batteriebetrieben);-15,98 €;DS-ASE-INV-DE-2022-317869944
